Day_of_week,Age_band_of_driver,Sex_of_driver,Educational_level,Vehicle_driver_relation,Driving_experience,Type_of_vehicle,Owner_of_vehicle,Service_year_of_vehicle,Defect_of_vehicle,Area_accident_occured,Lanes_or_Medians,Road_allignment,Types_of_Junction,Road_surface_type,Road_surface_conditions,Light_conditions,Weather_conditions,Type_of_collision,Vehicle_movement,Work_of_casuality,Fitness_of_casuality,Pedestrian_movement,Cause_of_accident,hour,minute,Time_period,Is_night,Is_weekend,Accident_severity
Friday,31-50,Male,High school,Employee,2-5yr,Automobile,Owner,,No defect,Other,Undivided Two way,Tangent road with flat terrain,No junction,Asphalt roads,Dry,Daylight,Normal,Collision with roadside objects,Going straight,Driver,Normal,Not a Pedestrian,No distancing,17,25,Evening,0,0,Slight Injury
Friday,31-50,Male,Junior high school,Employee,Above 10yr,Public (> 45 seats),Owner,,,Other,other,Tangent road with flat terrain,Y Shape,Asphalt roads,Wet or damp,Daylight,Normal,Collision with roadside objects,Going straight,Driver,Normal,Not a Pedestrian,No distancing,12,48,Afternoon,0,0,Slight Injury
Friday,18-30,Male,Junior high school,Employee,Above 10yr,Lorry (41?100Q),Owner,,No defect,,Undivided Two way,Tangent road with flat terrain,Y Shape,Earth roads,Dry,Daylight,Normal,Collision with pedestrians,Going straight,,,Not a Pedestrian,Changing lane to the right,7,10,Morning,0,0,Slight Injury
Friday,18-30,Male,Junior high school,Employee,5-10yr,Public (> 45 seats),Owner,2-5yrs,,Residential areas,Undivided Two way,Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,,Driver,Normal,Not a Pedestrian,Changing lane to the left,7,10,Morning,0,0,Slight Injury
Friday,18-30,Male,Junior high school,Employee,1-2yr,Lorry (41?100Q),Owner,,,Office areas,Undivided Two way,Tangent road with flat terrain,No junction,Asphalt roads,Wet or damp,Daylight,Normal,Vehicle with vehicle collision,Going straight,Self-employed,Normal,Not a Pedestrian,Moving Backward,17,10,Evening,0,0,Slight Injury
Friday,31-50,Male,,Employee,Below 1yr,Lorry (41?100Q),Owner,,,Residential areas,Undivided Two way,Tangent road with flat terrain,No junction,Other,Wet or damp,Daylight,Normal,Collision with pedestrians,Going straight,Self-employed,Normal,Not a Pedestrian,No distancing,17,10,Evening,0,0,Slight Injury
Friday,18-30,Male,Junior high school,Employee,Below 1yr,Lorry (41?100Q),Owner,,No defect,Other,Two-way (divided with broken lines road marking),Tangent road with flat terrain,No junction,Asphalt roads,Wet or damp,Daylight,Normal,Vehicle with vehicle collision,Going straight,,,Not a Pedestrian,No distancing,17,10,Evening,0,0,Slight Injury
Friday,31-50,Male,High school,Employee,2-5yr,Public (12 seats),Owner,,No defect,Other,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Y Shape,Asphalt roads,Wet or damp,Daylight,Raining,Vehicle with vehicle collision,Going straight,,Normal,Not a Pedestrian,Driving carelessly,9,5,Morning,0,0,Slight Injury
Friday,18-30,Male,Junior high school,Owner,1-2yr,Public (12 seats),Owner,,No defect,  Recreational areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Y Shape,Asphalt roads,Wet or damp,Daylight,Raining,Vehicle with vehicle collision,Going straight,Driver,Normal,Not a Pedestrian,Moving Backward,9,5,Morning,0,0,Slight Injury
Wednesday,31-50,Male,Junior high school,Employee,5-10yr,Stationwagen,Owner,5-10yrs,, Church areas,One way,Tangent road with flat terrain,No junction,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,Going straight,Driver,Normal,Not a Pedestrian,No distancing,16,15,Evening,0,0,Slight Injury
Sunday,,Female,Elementary school,Employee,2-5yr,Lorry (41?100Q),Owner,,,School areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Crossing,Asphalt roads,Dry,Darkness - lights lit,Normal,Vehicle with vehicle collision,Going straight,,,Not a Pedestrian,Changing lane to the right,18,0,Evening,0,1,Slight Injury
Sunday,Over 51,Male,Elementary school,Owner,5-10yr,Automobile,Owner,2-5yrs,,Office areas,Undivided Two way,Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,Going straight,Driver,Normal,Not a Pedestrian,Driving carelessly,13,55,Afternoon,0,1,Slight Injury
Sunday,18-30,Male,Junior high school,Employee,Above 10yr,Pick up upto 10Q,Owner,1-2yr,,Other,,Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Daylight,Normal,Collision with roadside objects,Going straight,Self-employed,Normal,Crossing from nearside - masked by parked or statioNot a Pedestrianry vehicle,Driving to the left,13,55,Afternoon,0,1,Slight Injury
Sunday,18-30,Male,Junior high school,Employee,5-10yr,Automobile,Owner,5-10yrs,,Residential areas,Undivided Two way,Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Daylight,Normal,Collision with pedestrians,Going straight,Self-employed,Normal,Not a Pedestrian,Changing lane to the right,13,55,Afternoon,0,1,Slight Injury
Sunday,18-30,Male,High school,Employee,5-10yr,Public (13?45 seats),Owner,Above 10yr,,Other,Undivided Two way,Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,Going straight,Self-employed,Normal,Not a Pedestrian,Driving carelessly,13,55,Afternoon,0,1,Slight Injury
Sunday,,Female,Junior high school,Employee,5-10yr,Public (> 45 seats),Owner,1-2yr,No defect,Other,other,Steep grade downward with mountainous terrain,No junction,Asphalt roads,Dry,Darkness - lights lit,Normal,Vehicle with vehicle collision,,,,Not a Pedestrian,Changing lane to the right,19,20,Evening,0,1,Slight Injury
Sunday,31-50,Male,Junior high school,Employee,Above 10yr,Stationwagen,Owner,2-5yrs,,Office areas,One way,Steep grade downward with mountainous terrain,No junction,Asphalt roads,Dry,Darkness - lights lit,Normal,Collision with roadside objects,Going straight,Self-employed,Normal,Not a Pedestrian,No priority to vehicle,19,20,Evening,0,1,Slight Injury
Sunday,31-50,Male,Junior high school,,1-2yr,,Owner,,No defect,Residential areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,No junction,Asphalt roads,Dry,Darkness - lights lit,Normal,Vehicle with vehicle collision,Going straight,Self-employed,Normal,Not a Pedestrian,Changing lane to the right,19,20,Evening,0,1,Slight Injury
Saturday,31-50,Male,Junior high school,Employee,2-5yr,Lorry (41?100Q),Owner,,No defect,Other,Two-way (divided with broken lines road marking),Tangent road with flat terrain,No junction,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,Going straight,Driver,Deaf,Not a Pedestrian,Turnover,11,58,Afternoon,0,1,Slight Injury
Sunday,31-50,Male,Junior high school,Employee,1-2yr,Stationwagen,Organization,2-5yrs,,Residential areas,Undivided Two way,Tangent road with flat terrain,Crossing,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,Going straight,Driver,Normal,Not a Pedestrian,No priority to vehicle,12,53,Afternoon,0,1,Slight Injury
Sunday,18-30,Male,,,,Lorry (41?100Q),Owner,,No defect, Church areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Crossing,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,Turnover,Self-employed,Normal,Not a Pedestrian,Driving at high speed,12,53,Afternoon,0,1,Slight Injury
Sunday,18-30,Male,Elementary school,Employee,5-10yr,Public (12 seats),Governmental,,No defect,Residential areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Crossing,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,Moving Backward,Self-employed,Normal,Crossing from nearside - masked by parked or statioNot a Pedestrianry vehicle,No distancing,12,53,Afternoon,0,1,Slight Injury
Friday,18-30,Male,Junior high school,Employee,5-10yr,Lorry (41?100Q),Owner,,No defect,Office areas,One way,Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Darkness - lights lit,Normal,Vehicle with vehicle collision,Going straight,Driver,Normal,Not a Pedestrian,No distancing,20,40,Night,1,0,Slight Injury
Friday,31-50,Male,Junior high school,Employee,Above 10yr,Other,Governmental,Below 1yr,No defect,Residential areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Darkness - lights lit,Normal,Vehicle with vehicle collision,Going straight,Driver,Normal,Not a Pedestrian,Driving carelessly,20,40,Night,1,0,Slight Injury
Tuesday,Under 18,Male,Junior high school,Employee,2-5yr,Stationwagen,Owner,,No defect,Other,One way,Tangent road with flat terrain,Crossing,Asphalt roads,Wet or damp,Daylight,Other,Vehicle with vehicle collision,Moving Backward,,,Not a Pedestrian,Driving carelessly,12,44,Afternoon,0,0,Slight Injury
Tuesday,18-30,Male,Junior high school,Owner,Above 10yr,Automobile,Owner,,, Industrial areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Crossing,Asphalt roads,Wet or damp,Daylight,Other,Collision with roadside objects,Going straight,Driver,Normal,Not a Pedestrian,Moving Backward,12,44,Afternoon,0,0,Slight Injury
Thursday,31-50,Male,Junior high school,Employee,2-5yr,Public (> 45 seats),Owner,,, Church areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Y Shape,Gravel roads,Dry,Daylight,Normal,Collision with roadside objects,Moving Backward,Driver,Normal,Not a Pedestrian,No distancing,8,50,Morning,0,0,Slight Injury
Thursday,18-30,Male,Elementary school,Other,5-10yr,Other,Owner,2-5yrs,No defect,Residential areas,Undivided Two way,Steep grade downward with mountainous terrain,Y Shape,Asphalt roads,Dry,Daylight,Normal,Collision with roadside objects,Going straight,Student,Normal,Not a Pedestrian,Changing lane to the right,8,50,Morning,0,0,Slight Injury
Tuesday,18-30,Male,Elementary school,Employee,5-10yr,Lorry (41?100Q),,,,,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,Going straight,Employee,Normal,Not a Pedestrian,Overtaking,8,8,Morning,0,0,Serious Injury
Tuesday,31-50,Male,Junior high school,,5-10yr,Automobile,,,,,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Daylight,Normal,Collision with pedestrians,Going straight,Driver,Normal,Not a Pedestrian,No distancing,15,33,Afternoon,0,0,Slight Injury
Tuesday,31-50,Male,Junior high school,Employee,5-10yr,Public (> 45 seats),Owner,1-2yr,No defect,Office areas,Undivided Two way,Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,Other,Other,Normal,Not a Pedestrian,Overtaking,15,33,Afternoon,0,0,Slight Injury
Sunday,18-30,Male,Elementary school,Employee,Above 10yr,,Owner,Above 10yr,No defect, Outside rural areas,Two-way (divided with broken lines road marking),Tangent road with mountainous terrain and,Crossing,Asphalt roads,Dry,Daylight,Normal,Collision with pedestrians,Other,,Normal,Not a Pedestrian,Moving Backward,18,20,Evening,0,1,Slight Injury
Sunday,Over 51,Male,Junior high school,,Below 1yr,Automobile,Owner,Above 10yr,No defect, Church areas,Two-way (divided with broken lines road marking),Steep grade downward with mountainous terrain,Crossing,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,Going straight,,,Not a Pedestrian,No distancing,18,20,Evening,0,1,Slight Injury
Monday,Over 51,Male,Junior high school,Employee,5-10yr,Pick up upto 10Q,Owner,,No defect,Office areas,other,Tangent road with mountainous terrain and,No junction,Asphalt roads,Wet or damp,Daylight,Normal,Collision with pedestrians,Reversing,,,Not a Pedestrian,No distancing,9,55,Morning,0,0,Slight Injury
Monday,Over 51,Male,Elementary school,Employee,1-2yr,Public (12 seats),Owner,Above 10yr,, Church areas,Two-way (divided with broken lines road marking),Steep grade downward with mountainous terrain,No junction,Asphalt roads,Wet or damp,Daylight,Normal,Vehicle with vehicle collision,Going straight,Employee,,Not a Pedestrian,No priority to vehicle,9,55,Morning,0,0,Slight Injury
Wednesday,31-50,Male,,,,Lorry (41?100Q),,,,Office areas,other,Tangent road with mountainous terrain and,Crossing,Asphalt roads,Dry,Darkness - lights lit,Normal,Vehicle with vehicle collision,Going straight,Driver,,Not a Pedestrian,No priority to vehicle,20,16,Night,1,0,Slight Injury
Monday,31-50,Male,Junior high school,Employee,Above 10yr,Lorry (41?100Q),Governmental,,No defect,Office areas,Undivided Two way,Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,Going straight,Driver,,Unknown or other,Changing lane to the left,9,5,Morning,0,0,Slight Injury
Monday,31-50,Male,High school,Owner,2-5yr,Lorry (41?100Q),Owner,1-2yr,No defect,School areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,Going straight,Driver,,Not a Pedestrian,No distancing,9,5,Morning,0,0,Slight Injury
Monday,,Female,Junior high school,Employee,1-2yr,Public (13?45 seats),Owner,Below 1yr,No defect,Residential areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,Moving Backward,Self-employed,Normal,Not a Pedestrian,Driving under the influence of drugs,9,5,Morning,0,0,Slight Injury
Wednesday,Over 51,Male,Junior high school,Employee,1-2yr,Lorry (41?100Q),Owner,,No defect,Office areas,other,Tangent road with mountainous terrain and,No junction,Asphalt roads,Wet or damp,Darkness - lights lit,Raining,Vehicle with vehicle collision,Going straight,Driver,Normal,Not a Pedestrian,Changing lane to the left,20,0,Night,1,0,Fatal injury
Tuesday,18-30,Male,Above high school,Owner,2-5yr,Lorry (41?100Q),Owner,,No defect,Rural village areasOffice areas,other,Tangent road with flat terrain,Crossing,Asphalt roads,Wet or damp,Daylight,Normal,Vehicle with vehicle collision,Going straight,Other,Normal,Not a Pedestrian,Changing lane to the right,11,30,Afternoon,0,0,Serious Injury
Tuesday,18-30,Male,,,,Motorcycle,Owner,,No defect,Other,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Crossing,Asphalt roads,Wet or damp,Daylight,Normal,Vehicle with vehicle collision,Going straight,,,Not a Pedestrian,Driving to the left,11,30,Afternoon,0,0,Serious Injury
Tuesday,Under 18,Male,Elementary school,Owner,2-5yr,Lorry (41?100Q),Owner,,No defect,Residential areas,Undivided Two way,Tangent road with flat terrain,Crossing,Asphalt roads,Wet or damp,Daylight,Normal,Vehicle with vehicle collision,Going straight,Driver,Normal,Not a Pedestrian,Driving at high speed,11,30,Afternoon,0,0,Serious Injury
Tuesday,Under 18,Male,Junior high school,Employee,1-2yr,Ridden horse,Owner,,No defect,Office areas,Undivided Two way,Tangent road with flat terrain,Crossing,Asphalt roads,Wet or damp,Daylight,Normal,Vehicle with vehicle collision,Going straight,Self-employed,Normal,Not a Pedestrian,Overtaking,11,30,Afternoon,0,0,Serious Injury
Tuesday,Under 18,Male,,Owner,5-10yr,Automobile,Owner,,No defect,Office areas,Undivided Two way,Tangent road with flat terrain,Crossing,Gravel roads,Wet or damp,Daylight,Normal,Vehicle with vehicle collision,Moving Backward,Self-employed,Normal,Not a Pedestrian,Changing lane to the right,11,30,Afternoon,0,0,Serious Injury
Tuesday,31-50,Male,Junior high school,Employee,Below 1yr,Lorry (41?100Q),Owner,,No defect,Residential areas,Undivided Two way,Tangent road with flat terrain,Crossing,Asphalt roads,Wet or damp,Daylight,Normal,Vehicle with vehicle collision,Going straight,Self-employed,Normal,Not a Pedestrian,Changing lane to the right,11,30,Afternoon,0,0,Serious Injury
Tuesday,18-30,Male,Junior high school,Employee,2-5yr,Pick up upto 10Q,Owner,,No defect,Office areas,Undivided Two way,Tangent road with flat terrain,Crossing,Gravel roads,Wet or damp,Daylight,Normal,Rollover,Going straight,,Other,Not a Pedestrian,Moving Backward,11,30,Afternoon,0,0,Serious Injury
Saturday,31-50,Male,Junior high school,Employee,5-10yr,Public (> 45 seats),Owner,,No defect,Office areas,Undivided Two way,Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Daylight,Normal,Collision with roadside objects,Moving Backward,Driver,Blind,Crossing from driver's nearside,Moving Backward,14,0,Afternoon,0,1,Slight Injury
Saturday,18-30,Male,Junior high school,Employee,Above 10yr,Stationwagen,Owner,,No defect,Office areas,,Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,Moving Backward,Driver,Normal,Not a Pedestrian,Changing lane to the left,14,0,Afternoon,0,1,Slight Injury
Friday,Over 51,Male,Elementary school,Employee,2-5yr,Automobile,Owner,,No defect,Office areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Crossing,Asphalt roads,Dry,Darkness - lights lit,Normal,Vehicle with vehicle collision,Going straight,Self-employed,Normal,Not a Pedestrian,Moving Backward,20,55,Night,1,0,Serious Injury
Friday,Over 51,Male,Elementary school,Owner,Above 10yr,Public (12 seats),Owner,,No defect,Other,Undivided Two way,Tangent road with flat terrain,Crossing,Asphalt roads,Dry,Darkness - lights lit,Normal,Vehicle with vehicle collision,Turnover,Driver,Normal,Not a Pedestrian,No distancing,20,55,Night,1,0,Serious Injury
Friday,Over 51,Male,Junior high school,Employee,1-2yr,Automobile,Owner,,No defect,Other,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Crossing,Asphalt roads,Dry,Darkness - lights lit,Normal,Collision with pedestrians,Turnover,Driver,Normal,Not a Pedestrian,Moving Backward,20,55,Night,1,0,Serious Injury
Friday,Over 51,Male,Junior high school,Employee,5-10yr,Automobile,Owner,2-5yrs,,Other,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Crossing,Asphalt roads,Dry,Darkness - lights lit,Normal,Collision with pedestrians,Going straight,Driver,Normal,Not a Pedestrian,Changing lane to the right,20,55,Night,1,0,Serious Injury
Friday,Over 51,Male,Junior high school,Employee,2-5yr,Automobile,Owner,2-5yrs,,Residential areas,One way,Tangent road with flat terrain,Crossing,Asphalt roads,Dry,Darkness - lights lit,Normal,Vehicle with vehicle collision,Going straight,Driver,Normal,Not a Pedestrian,Changing lane to the left,20,55,Night,1,0,Serious Injury
Friday,18-30,Female,Junior high school,Employee,2-5yr,Lorry (41?100Q),Owner,2-5yrs,,School areas,Undivided Two way,Tangent road with mild grade and flat terrain,Crossing,Asphalt roads,Dry,Darkness - lights lit,Normal,Vehicle with vehicle collision,Going straight,Driver,Normal,Not a Pedestrian,No priority to vehicle,20,55,Night,1,0,Serious Injury
Friday,18-30,Male,Junior high school,Employee,2-5yr,Automobile,Owner,2-5yrs,,Residential areas,Undivided Two way,Tangent road with mild grade and flat terrain,Y Shape,Asphalt roads,Dry,Darkness - lights lit,Normal,Collision with pedestrians,Going straight,Driver,Normal,Unknown or other,No distancing,19,7,Evening,0,0,Slight Injury
Friday,18-30,Male,Junior high school,Employee,2-5yr,Automobile,Owner,2-5yrs,No defect,Office areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Darkness - lights lit,Normal,Collision with pedestrians,Going straight,,Normal,Not a Pedestrian,No priority to vehicle,19,7,Evening,0,0,Slight Injury
Saturday,Over 51,Male,Junior high school,Employee,Above 10yr,Public (12 seats),Owner,,No defect, Church areas,One way,Tangent road with flat terrain,Crossing,Asphalt roads,Dry,Darkness - lights lit,Normal,Collision with pedestrians,Going straight,Employee,Normal,Not a Pedestrian,Driving under the influence of drugs,23,22,Night,1,1,Serious Injury
Thursday,31-50,Male,Junior high school,Employee,Above 10yr,Taxi,Owner,,No defect,Other,Undivided Two way,Tangent road with flat terrain,No junction,Asphalt roads,Dry,Darkness - lights lit,Normal,Vehicle with vehicle collision,Getting off,,,Crossing from driver's nearside,Changing lane to the right,18,35,Evening,0,0,Slight Injury
Monday,Over 51,Male,Elementary school,Employee,5-10yr,Automobile,Owner,2-5yrs,No defect,Other,One way,Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Daylight,Normal,Collision with roadside objects,Moving Backward,Driver,Normal,Not a Pedestrian,No distancing,13,43,Afternoon,0,0,Slight Injury
Monday,18-30,Male,Junior high school,Employee,Above 10yr,Public (12 seats),Owner,5-10yrs,No defect,Other,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,Other,Self-employed,Normal,Not a Pedestrian,No distancing,13,43,Afternoon,0,0,Slight Injury
Sunday,31-50,Male,Elementary school,Owner,2-5yr,Stationwagen,Owner,,No defect,Other,Two-way (divided with broken lines road marking),Tangent road with flat terrain,No junction,Asphalt roads,Wet or damp,Daylight,Normal,Vehicle with vehicle collision,Going straight,Self-employed,Normal,Not a Pedestrian,Changing lane to the left,8,40,Morning,0,1,Slight Injury
Sunday,,Female,Junior high school,Employee,5-10yr,Stationwagen,Owner,,No defect,Office areas,Undivided Two way,Tangent road with flat terrain,No junction,Asphalt roads,Wet or damp,Daylight,Normal,Collision with roadside objects,Going straight,,,Not a Pedestrian,Changing lane to the right,8,40,Morning,0,1,Slight Injury
Monday,Under 18,Male,Junior high school,Employee,Below 1yr,Automobile,Owner,,No defect,Office areas,Two-way (divided with solid lines road marking),Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,Going straight,Self-employed,Normal,Not a Pedestrian,Changing lane to the right,8,28,Morning,0,0,Slight Injury
Monday,18-30,Male,Junior high school,Employee,5-10yr,Lorry (41?100Q),Owner,,No defect,Residential areas,Undivided Two way,Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,Going straight,,,Not a Pedestrian,Driving under the influence of drugs,8,28,Morning,0,0,Slight Injury
Saturday,18-30,Male,High school,Employee,Above 10yr,Automobile,Owner,,No defect,Office areas,One way,Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,Going straight,Self-employed,Normal,Not a Pedestrian,Moving Backward,13,0,Afternoon,0,1,Slight Injury
Saturday,31-50,Male,Junior high school,Employee,5-10yr,Public (12 seats),Owner,,No defect,Residential areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,Going straight,Driver,Normal,Not a Pedestrian,Changing lane to the left,13,0,Afternoon,0,1,Slight Injury
Saturday,18-30,Male,Elementary school,Employee,1-2yr,Automobile,Owner,,No defect,Office areas,Undivided Two way,Tangent road with flat terrain,No junction,Asphalt roads,Dry,Daylight,Normal,Collision with pedestrians,Going straight,Self-employed,Normal,Not a Pedestrian,No priority to pedestrian,16,35,Evening,0,1,Slight Injury
Saturday,Under 18,Male,Junior high school,Employee,,Automobile,Owner,,No defect,Other,Two-way (divided with broken lines road marking),Tangent road with flat terrain,No junction,Asphalt roads,Dry,Daylight,Normal,Rollover,Going straight,Self-employed,Normal,Not a Pedestrian,No distancing,16,35,Evening,0,1,Slight Injury
Wednesday,Over 51,Male,Above high school,Employee,1-2yr,Lorry (41?100Q),Owner,,No defect,Office areas,One way,Tangent road with flat terrain,No junction,Asphalt roads,Wet or damp,Daylight,Raining,Vehicle with vehicle collision,Going straight,Self-employed,Normal,Not a Pedestrian,No distancing,10,39,Afternoon,0,0,Slight Injury
Monday,18-30,Male,Junior high school,Employee,Above 10yr,Automobile,Owner,,No defect,School areas,Undivided Two way,Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,Going straight,Driver,Normal,Not a Pedestrian,Changing lane to the left,12,55,Afternoon,0,0,Slight Injury
Monday,18-30,Female,Junior high school,Employee,1-2yr,Motorcycle,Owner,,,Residential areas,One way,Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,Going straight,Employee,Normal,Not a Pedestrian,Changing lane to the right,12,55,Afternoon,0,0,Slight Injury
Monday,18-30,Male,Junior high school,Employee,5-10yr,,Owner,,,Office areas,Undivided Two way,Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Daylight,Normal,Collision with roadside objects,Going straight,,Normal,Not a Pedestrian,Driving carelessly,12,55,Afternoon,0,0,Slight Injury
Sunday,31-50,Male,Junior high school,Employee,2-5yr,Automobile,Owner,,No defect,Residential areas,Undivided Two way,Tangent road with flat terrain,No junction,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,Moving Backward,,,Not a Pedestrian,No distancing,15,20,Afternoon,0,1,Slight Injury
Sunday,Over 51,Male,,,,Automobile,Owner,Above 10yr,,Office areas,Undivided Two way,Tangent road with flat terrain,No junction,Asphalt roads,Dry,Daylight,Normal,Rollover,Going straight,,,Not a Pedestrian,Changing lane to the left,15,20,Afternoon,0,1,Slight Injury
Sunday,Over 51,Male,Junior high school,Employee,2-5yr,Automobile,Owner,Above 10yr,,Residential areas,One way,Tangent road with flat terrain,No junction,Asphalt roads,Dry,Daylight,Normal,Collision with roadside objects,Moving Backward,,,Not a Pedestrian,Moving Backward,15,20,Afternoon,0,1,Slight Injury
Sunday,31-50,Male,Junior high school,Employee,2-5yr,Public (> 45 seats),Owner,,No defect,Other,other,Tangent road with flat terrain,No junction,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,Moving Backward,Self-employed,Normal,Not a Pedestrian,No distancing,14,45,Afternoon,0,1,Serious Injury
Tuesday,Over 51,Male,Junior high school,Employee,Above 10yr,,Other,,,Other,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Other,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,Going straight,Driver,Normal,Not a Pedestrian,No priority to pedestrian,17,22,Evening,0,0,Slight Injury
Tuesday,Under 18,Male,Junior high school,Employee,1-2yr,Automobile,Owner,5-10yrs,,Office areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Other,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,Going straight,,,Not a Pedestrian,Changing lane to the left,17,22,Evening,0,0,Slight Injury
Tuesday,31-50,Male,Above high school,Owner,1-2yr,Automobile,Owner,Above 10yr,No defect,Office areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Crossing,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,Going straight,,,Not a Pedestrian,No distancing,10,58,Afternoon,0,0,Slight Injury
Tuesday,Over 51,Male,Above high school,Employee,No Licence,Other,Owner,2-5yrs,No defect,Residential areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Crossing,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,Going straight,Driver,Normal,Not a Pedestrian,Driving carelessly,10,58,Afternoon,0,0,Slight Injury
Monday,31-50,Male,Junior high school,Employee,1-2yr,Stationwagen,Owner,,No defect,Other,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Crossing,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,Going straight,Driver,Normal,Not a Pedestrian,No priority to vehicle,14,57,Afternoon,0,0,Slight Injury
Monday,Over 51,Male,Junior high school,Employee,5-10yr,Lorry (41?100Q),Governmental,,No defect,Other,Undivided Two way,Tangent road with flat terrain,Crossing,Asphalt roads,Dry,Daylight,Normal,Collision with pedestrians,Going straight,Self-employed,Normal,Not a Pedestrian,Changing lane to the right,14,57,Afternoon,0,0,Slight Injury
Monday,,Female,Junior high school,Employee,Above 10yr,Taxi,Owner,,No defect,Office areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Crossing,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,,Driver,Normal,Not a Pedestrian,Moving Backward,14,57,Afternoon,0,0,Slight Injury
Saturday,18-30,Male,Junior high school,Employee,Above 10yr,Other,Owner,,No defect,Office areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Y Shape,Asphalt roads,Wet or damp,Daylight,Normal,Vehicle with vehicle collision,Other,Driver,Normal,Not a Pedestrian,No priority to vehicle,13,10,Afternoon,0,1,Slight Injury
